,,,Src,FinInstrmTp,bseScripCode,ISIN,TckrSymb,,,,,,companyName
,,,BSE,STK,100103,INE257A01026,BHEL#,,,,,,Bharat Heavy Electricals Ltd.
,,,BSE,STK,500002,INE117A01022,ABB,,,,,,ABB INDIA LIMITED
,,,BSE,STK,500003,INE208C01025,AEGISLOG,,,,,,AEGIS LOGISTICS LTD.
,,,BSE,STK,500008,INE885A01032,ARE&M,,,,,,Amara Raja Energy & Mobility L
,,,BSE,STK,500009,INE432A01017,AMBALALSA,,,,,,AMBALAL SARABHAI ENTERPRISES L
,,,BSE,STK,500012,INE714B01016,ANDHRAPET,,,,,,ANDHRA PETROCHEMICALS LTD.
,,,BSE,STK,500013,INE436A01026,ANSALAPI,,,,,,ANSAL PROPERTIES & INFRASTRUCT
,,,BSE,STK,500014,INE096A01010,UTIQUE,,,,,,UTIQUE ENTERPRISES LIMITED
,,,BSE,STK,500016,INE957C01019,ARUNAHTEL,,,,,,ARUNA HOTELS LTD.
,,,BSE,STK,500020,INE032A01023,BOMDYEING,,,,,,BOMBAY DYEING & MFG.CO.LTD.
,,,BSE,STK,500023,INE363A01022,ASIANHOTNR,,,,,,ASIAN HOTELS (NORTH) LIMITED
,,,BSE,STK,500027,INE100A01010,ATUL,,,,,,ATUL LTD.
,,,BSE,STK,500028,INE447A01015,ATVPR,,,,,,ATV PROJECTS INDIA LTD.
,,,BSE,STK,500031,INE193E01025,BAJAJELEC,,,,,,BAJAJ ELECTRICALS LTD.
,,,BSE,STK,500032,INE306A01021,BAJAJHIND,,,,,,BAJAJ HINDUSTHAN SUGAR LIMITED
,,,BSE,STK,500033,INE451A01017,FORCEMOT,,,,,,FORCE MOTORS LTD.
,,,BSE,STK,500034,INE296A01032,BAJFINANCE,,,,,,BAJAJ FINANCE LIMITED
,,,BSE,STK,500038,INE119A01028,BALRAMCHIN,,,,,,BALRAMPUR CHINI MILLS LTD.
,,,BSE,STK,500039,INE213C01025,BANCOINDIA,,,,,,BANCO PRODUCTS (INDIA) LTD.
,,,BSE,STK,500040,INE055A01016,ABREL,,,,,,ADITYA BIRLA REAL ESTATE LIMIT
,,,BSE,STK,500041,INE459A01010,BANARISUG,,,,,,BANNARI AMMAN SUGARS LTD.
,,,BSE,STK,500042,INE373A01013,BASF,,,,,,BASF INDIA LTD.
,,,BSE,STK,500043,INE176A01028,BATAINDIA,,,,,,BATA INDIA LTD.
,,,BSE,STK,500048,INE258A01016,BEML,,,,,,BEML LTD.
,,,BSE,STK,500049,INE263A01024,BEL,,,,,,BHARAT ELECTRONICS LTD.
,,,BSE,STK,500052,INE922A01025,BEPL,,,,,,BHANSALI ENGINEERING POLYMERS
,,,BSE,STK,500058,INE819C01011,BIHSPONG,,,,,,BIHAR SPONGE IRON LTD.
,,,BSE,STK,500059,INE071A01013,BILVYAPAR,,,,,,BIL VYAPAR LIMITED
,,,BSE,STK,500060,INE800A01015,BIRLACABLE,,,,,,Birla Cable Limited
,,,BSE,STK,500067,INE472A01039,BLUESTARCO,,,,,,BLUE STAR LTD.
,,,BSE,STK,500068,INE131C01011,DISAQ,,,,,,DISA INDIA LTD.
,,,BSE,STK,500069,INE418C01012,QUESTCAP,,,,,,QUEST CAPITAL MARKETS LIMITED
,,,BSE,STK,500074,INE110A01019,BPL,,,,,,BPL LTD.
,,,BSE,STK,500078,INE959C01023,OAL,,,,,,ORIENTAL AROMATICS LIMITED
,,,BSE,STK,500083,INE281A01026,CENTEXT,,,,,,CENTURY EXTRUSIONS LTD.
,,,BSE,STK,500084,INE486A01021,CESC,,,,,,CESC LTD.
,,,BSE,STK,500085,INE085A01013,CHAMBLFERT,,,,,,CHAMBAL FERTILISERS & CHEMICAL
,,,BSE,STK,500086,INE302A01020,EXIDEIND,,,,,,EXIDE INDUSTRIES LTD.
