nseSymbol,companyName,,,, MARKET LOT,ISIN
20MICRONS,20 Microns Limited,,,,1,INE144J01027
21STCENMGM,21st Century Management Services Limited,,,,1,INE253B01015
360ONE,360 ONE WAM LIMITED,,,,1,INE466L01038
3IINFOLTD,3i Infotech Limited,,,,1,INE748C01038
3MINDIA,3M India Limited,,,,1,INE470A01017
3PLAND,3P Land Holdings Limited,,,,1,INE105C01023
5PAISA,5Paisa Capital Limited,,,,1,INE618L01018
63MOONS,63 moons technologies limited,,,,1,INE111B01023
A2ZINFRA,A2Z Infra Engineering Limited,,,,1,INE619I01012
AAATECH,AAA Technologies Limited,,,,1,INE0D0U01013
AADHARHFC,Aadhar Housing Finance Limited,,,,1,INE883F01010
AAKASH,Aakash Exploration Services Limited,,,,1,INE087Z01024
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,,,,1,INE198H01019
AARON,Aaron Industries Limited,,,,1,INE721Z01010
AARTECH,Aartech Solonics Limited,,,,1,INE01C001026
AARTIDRUGS,Aarti Drugs Limited,,,,1,INE767A01016
AARTIIND,Aarti Industries Limited,,,,1,INE769A01020
AARTIPHARM,Aarti Pharmalabs Limited,,,,1,INE0LRU01027
AARTISURF,Aarti Surfactants Limited,,,,1,INE09EO01013
AARVEEDEN,Aarvee Denims & Exports Limited,,,,1,INE273D01019
AARVI,Aarvi Encon Limited,,,,1,INE754X01016
AAVAS,Aavas Financiers Limited,,,,1,INE216P01012
ABAN,Aban Offshore Limited,,,,1,INE421A01028
ABB,ABB India Limited,,,,1,INE117A01022
ABBOTINDIA,Abbott India Limited,,,,1,INE358A01014
ABCAPITAL,Aditya Birla Capital Limited,,,,1,INE674K01013
ABDL,Allied Blenders and Distillers Limited,,,,1,INE552Z01027
ABFRL,Aditya Birla Fashion and Retail Limited,,,,1,INE647O01011
ABINFRA,A B Infrabuild Limited,,,,1,INE00YB01017
ABLBL,Aditya Birla Lifestyle Brands Limited,,,,1,INE14LE01019
ABMINTLLTD,ABM International Limited,,,,1,INE251C01025
ABREL,Aditya Birla Real Estate Limited,,,,1,INE055A01016
ABSLAMC,Aditya Birla Sun Life AMC Limited,,,,1,INE404A01024
ACC,ACC Limited,,,,1,INE012A01025
ACCELYA,Accelya Solutions India Limited,,,,1,INE793A01012
ACCURACY,Accuracy Shipping Limited,,,,1,INE648Z01023
ACE,Action Construction Equipment Limited,,,,1,INE731H01025
ACEINTEG,Ace Integrated Solutions Limited,,,,1,INE543V01017
ACI,Archean Chemical Industries Limited,,,,1,INE128X01021
ACL,Andhra Cements Limited,,,,1,INE666E01020
ACLGATI,Allcargo Gati Limited,,,,1,INE152B01027
ACMESOLAR,Acme Solar Holdings Limited,,,,1,INE622W01025
ACUTAAS,Acutaas Chemicals Limited,,,,1,INE00FF01025
ADANIENSOL,Adani Energy Solutions Limited,,,,1,INE931S01010
ADANIENT,Adani Enterprises Limited,,,,1,INE423A01024
ADANIGREEN,Adani Green Energy Limited,,,,1,INE364U01010
ADANIPORTS,Adani Ports and Special Economic Zone Limited,,,,1,INE742F01042
ADANIPOWER,Adani Power Limited,,,,1,INE814H01011
ADFFOODS,ADF Foods Limited,,,,1,INE982B01027
ADL,Archidply Decor Limited,,,,1,INE0CHO01012
ADOR,Ador Welding Limited,,,,1,INE045A01017
ADROITINFO,Adroit Infotech Limited,,,,1,INE737B01033
ADSL,Allied Digital Services Limited,,,,1,INE102I01027
ADVANIHOTR,Advani Hotels & Resorts (India) Limited,,,,1,INE199C01026
ADVENZYMES,Advanced Enzyme Technologies Limited,,,,1,INE837H01020
AEGISLOG,Aegis Logistics Limited,,,,1,INE208C01025
AEGISVOPAK,Aegis Vopak Terminals Limited,,,,1,INE0INX01018
AEROENTER,Aeroflex Enterprises Limited,,,,1,INE065D01027
AEROFLEX,Aeroflex Industries Limited,,,,1,INE024001021
AETHER,Aether Industries Limited,,,,1,INE0BWX01014
AFCONS,Afcons Infrastructure Limited,,,,1,INE101I01011
AFFLE,Affle 3i Limited,,,,1,INE00WC01027
AFFORDABLE,Affordable Robotic & Automation Limited,,,,1,INE692Z01013
AFIL,Akme Fintrade (India) Limited,,,,1,INE916Y01027
AFSL,Abans Financial Services Limited,,,,1,INE00ZE01026
AGARIND,Agarwal Industrial Corporation Limited,,,,1,INE204E01012
AGARWALEYE,Dr. Agarwal's Health Care Limited,,,,1,INE943P01029
AGI,AGI Greenpac Limited,,,,1,INE415A01038
AGIIL,Agi Infra Limited,,,,1,INE976R01025
AGRITECH,Agri-Tech (India) Limited,,,,1,INE449G01018
AGROPHOS,Agro Phos India Limited,,,,1,INE740V01019
AGSTRA,AGS Transact Technologies Limited,,,,1,INE583L01014
AHLADA,Ahlada Engineers Limited,,,,1,INE00PV01013
AHLEAST,Asian Hotels (East) Limited,,,,1,INE926K01017
AHLUCONT,Ahluwalia Contracts (India) Limited,,,,1,INE758C01029
AIAENG,AIA Engineering Limited,,,,1,INE212H01026
AIIL,Authum Investment & Infrastructure Limited,,,,1,INE206F01022
AIRAN,Airan Limited,,,,1,INE645W01026
AIROLAM,Airo Lam limited,,,,1,INE801L01010
AJANTPHARM,Ajanta Pharma Limited,,,,1,INE031B01049
AJAXENGG,Ajax Engineering Limited,,,,1,INE274Y01021
AJMERA,Ajmera Realty & Infra India Limited,,,,1,INE298G01027
AJOONI,Ajooni Biotech Limited,,,,1,INE820Y01021
AKASH,Akash Infra-Projects Limited,,,,1,INE737W01013
AKG,Akg Exim Limited,,,,1,INE00Y801016
AKI,AKI India Limited,,,,1,INE642Z01026
AKSHAR,Akshar Spintex Limited,,,,1,INE256Z01025
AKSHARCHEM,AksharChem India Limited,,,,1,INE542B01011
AKSHOPTFBR,Aksh Optifibre Limited,,,,1,INE523B01011
AKUMS,Akums Drugs and Pharmaceuticals Limited,,,,1,INE09XN01023
AKZOINDIA,Akzo Nobel India Limited,,,,1,INE133A01011
ALANKIT,Alankit Limited,,,,1,INE914E01040
ALBERTDAVD,Albert David Limited,,,,1,INE155C01010
ALEMBICLTD,Alembic Limited,,,,1,INE426A01027
ALICON,Alicon Castalloy Limited,,,,1,INE062D01024
ALIVUS,Alivus Life Sciences Limited,,,,1,INE03Q201024
ALKALI,Alkali Metals Limited,,,,1,INE773I01017
ALKEM,Alkem Laboratories Limited,,,,1,INE540L01014
ALKYLAMINE,Alkyl Amines Chemicals Limited,,,,1,INE150B01039
ALLCARGO,Allcargo Logistics Limited,,,,1,INE418H01029
ALLDIGI,Alldigi Tech Limited,,,,1,INE835G01018
ALMONDZ,Almondz Global Securities Limited,,,,1,INE326B01035
ALOKINDS,Alok Industries Limited,,,,1,INE270A01029
ALPA,Alpa Laboratories Limited,,,,1,INE385I01010
ALPHAGEO,Alphageo (India) Limited,,,,1,INE137C01018
AMBER,Amber Enterprises India Limited,,,,1,INE371P01015
AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,,,,1,INE792B01012
AMBIKCO,Ambika Cotton Mills Limited,,,,1,INE540G01014
AMBUJACEM,Ambuja Cements Limited,,,,1,INE079A01024
AMDIND,AMD Industries Limited,,,,1,INE005I01014
