companyName,nseSymbol,bseScripCode
RELIANCE INDUSTRIES LTD,RELIANCE,500325
TATA CONSULTANCY SERVICES LTD,TCS,532540
HDFC BANK LTD,HDFCBANK,500180
ICICI BANK LTD,ICICIBANK,532174
INFOSYS LTD,INFY,500209
HINDUSTAN UNILEVER LTD,HINDUNILVR,500696
STATE BANK OF INDIA,SBIN,500112
BHARTI AIRTEL LTD,BHARTIARTL,532454
ITC LTD,ITC,500875
LARSEN & TOUBRO LTD,LT,500510
Adani Ports and Special Economic Zone Limited,ADANIPORTS,532921
Sandhar Technologies Limited,SANDHAR,541163
Bajaj Finance,BAJFINANCE,500034
Kotak Mahindra Bank,KOTAKBANK,500247
HCL Technologies,HCLTECH,532281
Sun Pharmaceutical Industries,SUNPHARMA,524715
Maruti Suzuki,MARUTI,532500
Mahindra & Mahindra,M&M,500520
UltraTech Cement,ULTRACEMCO,532538
Axis Bank,AXISBANK,532215
NTPC,NTPC,532555
Bajaj Finserv,BAJAJFINSV,541153
Oil & Natural Gas Corporation,ONGC,500312
Titan Company,TITAN,500114
Adani Enterprises,ADANIENT,512599
Bharat Electronics,BEL,500049
Power Grid Corporation of India,POWERGRID,532898
Wipro,WIPRO,507685
JSW Steel,JSWSTEEL,500228
Tata Motors,TATAMOTORS,500570
Coal India,COALINDIA,533278
Nestle India,NESTLEIND,500790
Bajaj Auto,BAJAJ-AUTO,532977
Asian Paints,ASIANPAINT,500820
Jio Financial Services,JIOFIN,543940
Tata Steel,TATASTEEL,500470
Trent,TRENT,500251
Grasim Industries,GRASIM,500300
SBI Life Insurance,SBILIFE,540719
HDFC Life Insurance,HDFCLIFE,540777
Eicher Motors,EICHERMOT,505200
Tech Mahindra,TECHM,532755
Hindalco Industries,HINDALCO,500440
Shriram Finance,SHRIRAMFIN,511218
Cipla,CIPLA,500087
Tata Consumer Products,TATACONSUM,500800
Apollo Hospitals,APOLLOHOSP,508869
Dr Reddys Laboratories,DRREDDY,500124
Hero MotoCorp,HEROMOTOCO,500182
IndusInd Bank,INDUSINDBK,532187
Zomato,ZOMATO,543320
