token,api_symbol,name,exch_seg,lotsize
99926000,Nifty 50,NIFTY,NSE,1
99926001,Nifty GrowSect 15,NIFTY GROWSECT 15,NSE,1
99926002,Nifty50 PR 2x Lev,NIFTY50 PR 2X LEV,NSE,1
99926004,Nifty 500,NIFTY 500,NSE,1
99926008,Nifty IT,NIFTY IT,NSE,1
99926009,Nifty Bank,BANKNIFTY,NSE,1
99926011,NIFTY MIDCAP 100,NIFTY MIDCAP 100,NSE,1
99926012,Nifty 100,NIFTY 100,NSE,1
99926013,Nifty Next 50,NIFTYNXT50,NSE,1
99926014,Nifty Midcap 50,NIFTY MIDCAP 50,NSE,1
99926016,HangSeng BeES,HANGSENG BEES-NAV,NSE,1
99926017,India VIX,INDIA VIX,NSE,1
99926018,Nifty Realty,NIFTY REALTY,NSE,1
99926019,Nifty Infra,NIFTY INFRA,NSE,1
99926020,Nifty Energy,NIFTY ENERGY,NSE,1
99926021,Nifty FMCG,NIFTY FMCG,NSE,1
99926022,Nifty MNC,NIFTY MNC,NSE,1
99926023,Nifty Pharma,NIFTY PHARMA,NSE,1
99926024,Nifty PSE,NIFTY PSE,NSE,1
99926025,Nifty PSU Bank,NIFTY PSU BANK,NSE,1
99926026,Nifty Serv Sector,NIFTY SERV SECTOR,NSE,1
99926029,Nifty Auto,NIFTY AUTO,NSE,1
99926030,Nifty Metal,NIFTY METAL,NSE,1
99926031,Nifty Media,NIFTY MEDIA,NSE,1
99926032,NIFTY SMLCAP 100,NIFTY SMLCAP 100,NSE,1
99926033,Nifty 200,NIFTY 200,NSE,1
99926034,Nifty Div Opps 50,NIFTY DIV OPPS 50,NSE,1
99926035,Nifty Commodities,NIFTY COMMODITIES,NSE,1
99926036,Nifty Consumption,NIFTY CONSUMPTION,NSE,1
99926037,Nifty Fin Service,FINNIFTY,NSE,1
99926038,Nifty50 Div Point,NIFTY50 DIV POINT,NSE,1
99926040,Nifty100 Liq 15,NIFTY100 LIQ 15,NSE,1
99926041,Nifty CPSE,NIFTY CPSE,NSE,1
99926042,Nifty50 PR 1x Inv,NIFTY50 PR 1X INV,NSE,1
99926043,Nifty50 TR 2x Lev,NIFTY50 TR 2X LEV,NSE,1
99926044,Nifty50 TR 1x Inv,NIFTY50 TR 1X INV,NSE,1
99926045,Nifty50 Value 20,NIFTY50 VALUE 20,NSE,1
99926046,Nifty Mid Liq 15,NIFTY MID LIQ 15,NSE,1
99926047,Nifty Pvt Bank,NIFTY PVT BANK,NSE,1
99926048,NIFTY100 Qualty30,NIFTY100 QUALTY30,NSE,1
99926049,Nifty GS 8 13Yr,NIFTY GS 8 13YR,NSE,1
99926050,Nifty GS 10Yr,NIFTY GS 10YR,NSE,1
99926051,Nifty GS 10Yr Cln,NIFTY GS 10YR CLN,NSE,1
99926052,Nifty GS 4 8Yr,NIFTY GS 4 8YR,NSE,1
99926053,Nifty GS 11 15Yr,NIFTY GS 11 15YR,NSE,1
99926054,Nifty GS 15YrPlus,NIFTY GS 15YRPLUS,NSE,1
99926055,Nifty GS Compsite,NIFTY GS COMPSITE,NSE,1
99926056,NIFTY50 EQL Wgt,NIFTY50 EQL WGT,NSE,1
99926057,NIFTY100 EQL Wgt,NIFTY100 EQL WGT,NSE,1
99926058,NIFTY100 LowVol30,NIFTY100 LOWVOL30,NSE,1
99926059,NIFTY Alpha 50,NIFTY ALPHA 50,NSE,1
99926060,NIFTY MIDCAP 150,NIFTY MIDCAP 150,NSE,1
99926061,NIFTY SMLCAP 50,NIFTY SMLCAP 50,NSE,1
99926062,NIFTY SMLCAP 250,NIFTY SMLCAP 250,NSE,1
99926063,NIFTY MIDSML 400,NIFTY MIDSML 400,NSE,1
99926064,NIFTY200 QUALTY30,NIFTY200 QUALTY30,NSE,1
99926074,NIFTY MID SELECT,MIDCPNIFTY,NSE,1
10,ABAN,ABAN,NSE,1
1011,SCHAEFFLER,SCHAEFFLER,NSE,1
10190,781TN52,781TN52,NSE,100
10207,793TS35,793TS35,NSE,100
10215,795AP39,795AP39,NSE,100
10285,AYMSYNTEX,AYMSYNTEX,NSE,1
10311,MWL,MWL,NSE,1200
10332,79HR34,79HR34,NSE,100
10368,783MN32,783MN32,NSE,100
10407,KSHITIJPOL,KSHITIJPOL,NSE,1
10477,806JK37,806JK37,NSE,100
10485,RAMRAT,RAMRAT,NSE,1
10498,AGNI,AGNI,NSE,2500
10512,CONS,CONS,NSE,1
10544,764TN32,764TN32,NSE,100
10558,782PN42,782PN42,NSE,100
10605,LOYALTEX,LOYALTEX,NSE,1
10693,MOMENTUM,MOMENTUM,NSE,1
10768,OAL,OAL,NSE,1
10783,774TS45,774TS45,NSE,100
10822,MOQUALITY,MOQUALITY,NSE,1
10847,771AP39,771AP39,NSE,100
10852,761TN32,761TN32,NSE,100
10898,AMEYA,AMEYA,NSE,1000
10902,745TS30,745TS30,NSE,100
10922,OMAXAUTO,OMAXAUTO,NSE,1
10963,745AP42,745AP42,NSE,100
10990,RADICO,RADICO,NSE,1
11094,755BR32,755BR32,NSE,100
11095,755AS32,755AS32,NSE,100
11097,758GA37A,758GA37A,NSE,100
11140,SUMIT,SUMIT,NSE,1
11275,TVTODAY,TVTODAY,NSE,1
11276,768PN42,768PN42,NSE,100
11294,778MZ37,778MZ37,NSE,100
